;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;23110000100100200001 Общий прирост постоянного населения;
;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.;
все население;;;;;;;;
Российская Федерация;43625;118588;-503539;-475684;-532637;;;
Центральный федеральный округ;175844;164328;-77329;-42999;-57776;-41597;100031;
Белгородская область;-2053;2074;-7529;-8962;-21939;-13868;-18634;
Брянская область;-11041;-7940;-10155;-14420;-12130;-10101;-9609;
Владимирская область;-10761;-5712;-14684;-16807;-16725;-15568;-12006;
Воронежская область;-4574;-2235;-17202;-16521;-17335;-11865;-13372;
Ивановская область;-15260;-11692;-14782;-14717;-9389;-8825;-7410;
Калужская область;2857;-1200;3828;17243;-2399;-2443;-1809;
Костромская область;-10057;-7693;-8773;-11199;-6096;-5634;-5441;
Курская область;-8660;-3551;-8046;-13425;-11122;-6142;-11109;
Липецкая область;-3758;-2335;-9061;-12468;-11877;-9998;-7970;
Московская область;144873;139677;63988;105398;49479;59524;124475;
Орловская область;-8154;-6342;-9183;-10963;-9747;-7790;-6305;
Рязанская область;-6116;-3992;-9361;-11867;-9661;-6687;-7829;
Смоленская область;-9023;-9529;-15891;-13411;-13859;-9054;-6891;
Тамбовская область;-17695;-9497;-12836;-13836;-12921;-9958;-9635;
Тверская область;-14613;-9634;-15134;-15801;-14855;-11436;-9173;
Тульская область;-7149;-6770;-11369;-10925;-15219;-10331;-14349;
Ярославская область;-8057;-8208;-13950;-16026;-11032;-7047;-7384;
Город Москва столица Российской Федерации город федерального значения;165085;118907;32811;35708;89051;45626;124482;
Северо-Западный федеральный округ;18235;13821;-35055;-28809;-42488;-26995;36296;
Республика Карелия;-12438;-8695;-9257;-9080;-4504;-4024;-4906;
Республика Коми;-16709;-15702;-12977;-16064;-7929;-5824;-5825;
Архангельская область;-19543;-16127;-18178;-21252;-10343;-7615;-8638;
Ненецкий автономный округ (Архангельская область);-430;-16;-43;-135;-43;841;-318;
Архангельская область (кроме Ненецкого автономного округа);-19113;-16111;-18135;-21117;-10300;-8456;-8320;
Вологодская область;-9082;-7373;-9505;-11644;-9642;-7439;-5972;
Калининградская область;7962;10810;6358;9332;1364;1571;-1010;
Ленинградская область;42154;37438;26332;28748;17745;11995;23717;
Мурманская область;-10757;-11713;-13654;-13346;-6542;-2260;-5075;
Новгородская область;-6615;-4223;-4527;-6718;-5652;-4479;-4487;
Псковская область;-8310;-4971;-7408;-8188;-9113;-6639;-6667;
Город Санкт-Петербург город федерального значения;51573;34377;7761;19403;-7872;-2281;55159;
Южный федеральный округ (с 29.07.2016);51606;53525;-10481;-19739;-76152;-17971;-35012;
Республика Адыгея (Адыгея);4043;10962;2858;7868;-300;2606;140;
Республика Калмыкия;-2773;-1570;-1260;-2459;-1949;2287;818;
Республика Крым;3167;5842;-6700;-839;-14286;-7306;-7250;
Краснодарский край;57930;40246;21537;16403;-12697;13657;9236;
Астраханская область;-6323;-11143;-10910;-11253;-7215;-4128;151;
Волгоградская область;-9821;-12484;-12555;-20838;-22751;-16159;-19852;
Ростовская область;-14707;-1071;-12894;-24264;-27775;-12029;-15183;
Город федерального значения Севастополь;20090;22743;9443;15643;10821;3101;-3072;
Северо-Кавказский федеральный округ;60318;79761;49258;42800;31627;45353;59852;
Республика Дагестан;26414;27900;23950;22064;22879;22443;27666;
Республика Ингушетия;8163;8482;7322;7315;7762;8142;7271;
Кабардино-Балкарская Республика;3668;5168;3269;3725;-1072;2198;2750;
Карачаево-Черкесская Республика;-40;486;-81;-1171;-652;-122;277;
Республика Северная Осетия-Алания;-2978;-2812;-4141;-5405;-4645;-1869;-53;
Чеченская Республика;19623;21373;18868;17999;18606;19657;23686;
